date,open,high,low,close,volume,vwap
09/05/2013 14:28:07,1655,1655.5,1654,1654.5,21547,1654.800483
09/05/2013 14:38:07,1654.5,1655,1653.25,1654,21525,1653.846365
09/05/2013 14:50:34,1654,1654.75,1653,1653.75,21575,1653.681831
09/05/2013 14:57:56,1653.75,1654,1653,1653.5,21533,1653.406678
09/05/2013 14:59:59,1653.5,1653.75,1652.75,1653.25,21573,1653.24438
09/05/2013 15:00:22,1653.25,1653.25,1652.5,1652.75,21564,1652.89166
09/05/2013 15:05:50,1652.75,1653.25,1652.5,1653.25,21485,1652.820351
09/05/2013 15:33:47,1653.25,1653.5,1652.5,1653,21639,1652.944163
09/05/2013 20:18:33,1653,1654,1648.5,1649,21586,1651.208943
09/06/2013 01:05:19,1649,1652.75,1648.75,1651.75,21585,1651.138047
09/06/2013 02:36:59,1651.75,1655.75,1651.5,1653.75,21541,1654.15098
09/06/2013 03:48:47,1653.75,1654.25,1652,1653,21564,1652.956618
09/06/2013 05:38:24,1653,1654,1652,1652.75,21525,1653.05489
09/06/2013 06:40:49,1652.75,1656,1652.75,1655.75,21578,1654.28865
09/06/2013 07:07:57,1655.75,1657.75,1655,1657.75,21516,1656.381263
09/06/2013 07:25:06,1657.75,1659.5,1657.5,1659,21484,1658.687605
09/06/2013 07:30:54,1659,1659.75,1656.25,1657.25,21493,1658.119981
09/06/2013 07:32:16,1657.25,1662.25,1657.25,1661.25,21468,1660.143807
09/06/2013 07:33:42,1661.25,1663.5,1660.75,1661.5,21443,1662.1509
09/06/2013 07:36:21,1661.5,1662.25,1659.5,1661.75,21439,1660.929614
09/06/2013 07:42:24,1662,1662.25,1658.25,1660.5,21485,1659.816628
09/06/2013 07:51:05,1660.5,1661.5,1658.75,1661,21452,1660.338407
09/06/2013 07:58:11,1661,1662.75,1660.5,1662.25,21391,1661.897796
09/06/2013 08:13:45,1662.25,1662.75,1660,1660,21517,1661.364561
09/06/2013 08:28:24,1660,1660.75,1659,1659.75,21475,1659.973795
09/06/2013 08:31:45,1659.75,1660.5,1658.5,1660,21479,1659.280332
09/06/2013 08:34:13,1660,1660.5,1657.75,1658.25,21484,1658.669789
09/06/2013 08:36:55,1658.5,1661,1658.25,1660,21435,1659.897096
09/06/2013 08:39:11,1660,1660.25,1657.75,1657.75,21449,1658.770794
09/06/2013 08:40:13,1657.75,1658,1656,1656.25,21578,1656.938398
09/06/2013 08:41:08,1656.25,1656.5,1654.25,1654.5,21513,1655.277588
09/06/2013 08:42:20,1654.5,1655,1653.25,1653.25,21561,1654.175235
09/06/2013 08:43:05,1653.25,1653.5,1652.5,1653,21566,1653.008613
09/06/2013 08:44:10,1653,1653,1650.5,1651,21570,1652.157418
09/06/2013 08:44:34,1651,1651,1648.25,1648.5,21605,1649.597026
09/06/2013 08:45:24,1648.5,1650,1648,1648.75,21608,1649.051937
09/06/2013 08:46:01,1648.75,1649,1646.5,1647.5,21602,1647.454784
09/06/2013 08:46:54,1647.25,1647.5,1645,1645.5,21668,1646.414505
09/06/2013 08:47:30,1645.5,1645.5,1642.5,1642.75,21693,1643.791799
09/06/2013 08:48:01,1642.75,1644.5,1642.25,1644,21683,1643.343472
09/06/2013 08:48:54,1644,1645,1643.75,1644.5,21649,1644.495392
09/06/2013 08:49:54,1644.5,1646.25,1644.5,1646.25,21678,1645.54538
09/06/2013 08:50:31,1646.25,1647.75,1646,1647,21648,1646.879342
09/06/2013 08:52:04,1647,1647.75,1646,1646.5,21630,1646.912506
09/06/2013 08:53:40,1646.5,1648.25,1645.25,1648,21650,1646.608591
09/06/2013 08:55:26,1648,1648.25,1645.5,1645.75,21642,1647.014682
09/06/2013 08:57:08,1645.75,1647,1644.5,1646.25,21647,1645.722479
09/06/2013 08:59:30,1646.25,1647,1644.5,1645.5,21662,1645.873938
09/06/2013 09:01:13,1645.5,1646.25,1643.75,1644,21643,1644.762983
09/06/2013 09:03:03,1644,1645.25,1642.75,1643,21701,1643.912366
09/06/2013 09:03:40,1643,1643,1640.5,1640.75,21709,1641.85939
09/06/2013 09:04:17,1640.75,1641.25,1639,1639.25,21729,1640.235181
09/06/2013 09:05:13,1639.25,1640.75,1638.75,1640,21661,1639.737674
09/06/2013 09:06:31,1640,1643,1640,1643,21782,1641.635662
09/06/2013 09:08:08,1643,1644.75,1642.75,1644.25,21675,1643.558501
09/06/2013 09:10:15,1644.25,1645,1643,1643.75,21681,1643.860546
09/06/2013 09:12:05,1643.75,1646,1643.5,1646,21672,1644.762516
09/06/2013 09:13:40,1646,1646.75,1644.25,1644.75,21662,1645.553377
09/06/2013 09:15:42,1644.75,1647.75,1644.25,1647.5,21654,1645.82031
09/06/2013 09:17:06,1647.5,1648.25,1646.5,1647.5,21631,1647.350793
09/06/2013 09:19:44,1647.5,1648.75,1647,1647.5,21626,1647.848839
09/06/2013 09:23:14,1647.5,1648.75,1646.75,1648.5,21505,1647.66631
09/06/2013 09:26:48,1648.5,1648.5,1646.25,1648.5,21761,1647.512442
09/06/2013 09:29:10,1648.5,1649.5,1648.25,1648.75,21612,1649.024651
09/06/2013 09:31:24,1648.75,1650.25,1648.5,1649.25,21607,1649.464479
09/06/2013 09:35:46,1649.25,1650.5,1648.5,1650.25,21601,1649.443359
09/06/2013 09:40:46,1650.25,1650.75,1648.75,1650,21595,1649.724404
09/06/2013 09:43:21,1650,1652.25,1650,1652.25,21456,1651.274422
09/06/2013 09:45:00,1652,1653.5,1652,1653.5,21700,1652.768065
09/06/2013 09:46:17,1653.5,1654.5,1653.5,1654.25,21424,1653.941444
09/06/2013 09:48:33,1654.25,1655.25,1654.25,1654.75,21665,1654.692869
09/06/2013 09:51:30,1654.75,1655.5,1654,1654.25,21535,1654.670374
09/06/2013 09:56:10,1654.25,1655,1653.5,1654.75,21544,1654.165359
09/06/2013 09:57:59,1654.75,1657.25,1654.75,1656.25,21520,1656.309305
09/06/2013 10:00:36,1656.5,1658.25,1656.25,1658,21502,1657.101316
09/06/2013 10:03:42,1658,1659,1657.5,1659,21472,1658.107989
09/06/2013 10:05:24,1659,1660.25,1658.25,1659.5,21451,1659.152883
09/06/2013 10:08:34,1659.5,1659.75,1658.25,1658.5,21542,1658.749745
09/06/2013 10:12:41,1658.5,1659.75,1658,1659.5,21487,1658.571159
09/06/2013 10:16:34,1659.5,1659.75,1658.25,1658.5,21482,1658.924774
09/06/2013 10:19:27,1658.5,1658.5,1657.25,1657.75,21498,1657.860324
09/06/2013 10:24:44,1657.75,1658.5,1657.5,1657.75,21496,1657.958015
09/06/2013 10:30:00,1657.75,1659.25,1657.75,1659.25,21482,1658.559573
09/06/2013 10:34:45,1659.25,1660,1658.25,1660,21488,1659.030261
09/06/2013 10:38:11,1660,1660.5,1659.5,1659.75,21468,1660.093989
09/06/2013 10:42:12,1659.75,1660.5,1659,1659.5,21467,1659.603065
09/06/2013 10:50:23,1659.5,1659.75,1658.5,1658.75,21486,1659.074409
09/06/2013 11:00:12,1658.75,1659.75,1658,1659.25,21298,1658.780367
09/06/2013 11:06:59,1659.25,1660.25,1658.5,1659,21656,1659.382434
09/06/2013 11:18:57,1659,1660,1658.75,1660,21459,1659.39325
09/06/2013 11:29:30,1660,1660.5,1658.75,1659.25,21499,1659.637413
09/06/2013 11:39:50,1659.25,1659.5,1657,1657,21483,1658.555067
09/06/2013 11:45:20,1657,1657.75,1656,1657.25,21437,1656.784788
09/06/2013 11:59:42,1657.25,1658,1656.5,1657.75,21587,1657.236635
09/06/2013 12:06:48,1657.75,1659.75,1657.5,1659.25,21477,1658.73098
09/06/2013 12:20:02,1659.25,1660.75,1658.75,1660.75,21467,1659.45825
09/06/2013 12:32:56,1660.75,1660.75,1659,1659.5,21490,1659.683562
09/06/2013 12:46:16,1659.5,1660.75,1659.25,1660.25,21469,1660.04241
09/06/2013 12:49:44,1660.25,1662.25,1659.5,1661.75,21415,1661.230049
09/06/2013 12:53:13,1661.75,1663.25,1661.75,1663,21410,1662.639596
09/06/2013 13:02:09,1663,1663,1661.75,1662,21503,1662.349916
09/06/2013 13:08:16,1662,1663.75,1662,1663.75,21428,1662.778444
09/06/2013 13:15:19,1663.75,1664,1661.5,1662,21441,1662.544669
09/06/2013 13:30:21,1662,1662.5,1661.25,1662.25,21444,1661.796447
09/06/2013 13:41:48,1662.25,1663.25,1661.5,1661.75,21432,1662.370824
09/06/2013 13:51:50,1661.75,1662.25,1660.75,1662,21453,1661.602258
09/06/2013 14:00:17,1662,1662.5,1660,1660.5,21460,1661.063246
09/06/2013 14:07:38,1660.5,1661.5,1659.75,1659.75,21461,1660.621826
09/06/2013 14:09:10,1659.75,1660,1657.25,1658.25,21478,1658.546711
09/06/2013 14:12:18,1658,1659,1656.5,1656.5,21504,1657.786086
09/06/2013 14:15:11,1656.5,1658,1656.25,1657.75,21509,1657.195686
09/06/2013 14:20:25,1657.75,1659,1657.25,1658.75,21494,1658.138399
09/06/2013 14:25:35,1658.75,1659.5,1657.75,1658,21470,1658.626735
09/06/2013 14:35:28,1658,1658.75,1656.75,1657.25,21508,1657.956946
09/06/2013 14:40:28,1657,1657.5,1655.5,1657.5,21496,1656.576852
09/06/2013 14:46:50,1657.5,1658.5,1655.75,1656,21520,1657.325035
09/06/2013 14:49:57,1656,1656.5,1654.5,1654.5,21514,1655.438447
09/06/2013 14:55:12,1654.5,1656.25,1654.25,1655.75,21548,1655.192257
09/06/2013 14:57:00,1655.75,1655.75,1653.75,1653.75,21523,1654.549064
09/06/2013 14:58:16,1653.75,1654.25,1653,1653.25,21568,1653.602443
09/06/2013 14:59:49,1653.25,1653.75,1652.75,1653.5,21476,1653.285761
09/06/2013 15:00:04,1653.5,1654.5,1653.5,1654.5,21635,1653.78581
09/06/2013 15:01:09,1654.5,1654.5,1653.25,1653.75,21533,1653.784076
09/06/2013 15:06:07,1653.75,1653.75,1652.5,1653.5,21565,1653.171574
09/06/2013 15:14:48,1653.75,1654.25,1653,1654,21561,1653.589386
09/08/2013 18:15:59,1653.75,1658,1652,1656.25,21533,1654.820218
09/09/2013 00:58:06,1656.25,1659.25,1654.75,1657.75,21512,1656.723817
09/09/2013 02:42:26,1657.75,1659.25,1656.5,1656.5,21500,1657.944291
09/09/2013 03:59:02,1656.5,1659.75,1656.5,1659.5,21490,1658.373627
09/09/2013 05:33:26,1659.5,1659.5,1656.5,1658,21499,1657.594318
09/09/2013 06:37:59,1658,1659,1656,1657.25,21501,1657.494047
09/09/2013 07:56:17,1657.25,1658.25,1656.5,1657.5,21507,1657.249977
09/09/2013 08:30:11,1657.5,1659.5,1657.5,1659.5,21488,1658.484247
09/09/2013 08:31:24,1659.5,1661.75,1659,1661,21460,1660.57825
09/09/2013 08:35:30,1661,1661.5,1660,1661.5,21462,1660.712597
09/09/2013 08:38:41,1661.5,1662.25,1660.75,1661.75,21446,1661.533981
09/09/2013 08:44:13,1661.75,1662,1660,1660.25,21456,1660.996318
09/09/2013 08:47:59,1660.25,1662.5,1660.25,1662,21451,1661.738346
09/09/2013 08:51:51,1662,1663.25,1661.25,1663,21435,1662.364871
09/09/2013 08:55:14,1663,1664,1662.75,1664,21398,1663.492184
09/09/2013 08:59:12,1664,1664.75,1663.75,1664,21403,1664.210461
09/09/2013 09:01:56,1664,1665.25,1663.5,1664.5,21426,1664.456326
09/09/2013 09:05:44,1664.5,1664.75,1662.5,1662.5,21448,1663.595557
09/09/2013 09:10:02,1662.75,1663.25,1661.75,1662,21428,1662.62556
09/09/2013 09:15:59,1662,1662.5,1661,1662,21363,1661.865667
09/09/2013 09:21:00,1662,1663.25,1661.5,1662.5,21530,1662.261507
09/09/2013 09:29:12,1662.5,1662.75,1661,1661.5,21374,1661.924991
09/09/2013 09:35:40,1661.5,1662.25,1660.25,1661.75,21501,1661.261953
09/09/2013 09:43:45,1661.75,1663,1661.25,1662.75,21449,1662.036552
